Value,Name,VariableDescription,Date
"2,537","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,501","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,468","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,439","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,424","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,403","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,381","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,363","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,346","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,344","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,330","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,302","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,286","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,276","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/11/21
"2,275","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,265","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,253","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,239","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,219","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,194","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,186","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,226","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,263","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,245","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,225","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,240","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,264","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,280","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,369","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,407","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,468","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,567","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/12/21
"2,714","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"2,883","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"3,123","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"3,560","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"4,204","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"4,822","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"5,431","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"6,210","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"7,004","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"7,497","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"7,652","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"7,619","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"7,501","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"7,365","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"7,154","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"6,888","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"6,598","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"6,298","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/13/21
"6,048","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"5,804","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"5,576","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"5,353","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"5,142","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"4,946","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"4,789","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"4,624","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"4,495","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"4,381","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"4,271","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"4,156","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"4,065","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"3,984","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"3,901","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"3,800","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"3,729","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"3,653","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/14/21
"3,585","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"3,521","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"3,456","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"3,408","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"3,343","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"3,272","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"3,222","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"3,166","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"3,122","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"3,081","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"3,031","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"2,998","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"2,964","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"2,939","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"2,910","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"2,865","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"2,830","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"2,793","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/15/21
"2,772","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,748","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,725","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,713","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,684","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,643","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,618","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,588","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,563","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,547","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,533","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,518","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,503","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,491","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,479","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,454","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,433","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,424","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/16/21
"2,404","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,366","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,349","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,347","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,335","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,306","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,293","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,271","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,258","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,249","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,239","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,226","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,216","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,214","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,203","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,191","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,180","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,166","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/17/21
"2,153","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,137","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,128","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,118","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
"2,113","ROGUE RIVER AT GRANTS PASS, OR",Discharge,1/18/21
